,Discipline,Field,Topic
1460,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples community-based research
1461,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples criminology
1462,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples customary law 
1463,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples design practice and management
1464,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples economics
1465,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples finance
1466,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples human geography and demography
1467,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples legislation
1468,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples management
1469,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples marketing
1470,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples not-for-profit social enterprises
1471,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples perspectives
1472,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples political participation and representation
1473,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples politics
1474,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples social impact and program evaluation
1475,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples social work and social justice
1476,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples sociological studies
1477,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples sociology
1478,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples tourism
1479,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples urban and regional planning
1480,Indigenous Studies,Pacific Peoples society and community,"Pacific Peoples, society and community "
1481,Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies","Global Indigenous studies culture, language and history"
1482,Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",Global Indigenous studies environmental knowledges and management
1483,Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",Global Indigenous studies health and wellbeing
1484,Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies","Global Indigenous studies peoples, society and community"
1485,Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",Global Indigenous studies sciences
1486,Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",Indigenous data and data technologies
1487,Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies",Indigenous methodologies
1488,Indigenous Studies,"Other Indigenous data, methodologies and global Indigenous studies","Other Indigenous data, methodologies and global Indigenous studies "
1489,Indigenous Studies,Other Indigenous studies,Other Indigenous studies 
1490,Information And Computing Sciences,Applied computing,Applications in arts and humanities
1491,Information And Computing Sciences,Applied computing,Applications in health
1492,Information And Computing Sciences,Applied computing,Applications in life sciences
1493,Information And Computing Sciences,Applied computing,Applications in physical sciences
1494,Information And Computing Sciences,Applied computing,Applications in social sciences and education
1495,Information And Computing Sciences,Applied computing,Spatial data and applications
1496,Information And Computing Sciences,Applied computing,Applied computing 
1497,Information And Computing Sciences,Artificial intelligence,Artificial life and complex adaptive systems
1498,Information And Computing Sciences,Artificial intelligence,Autonomous agents and multiagent systems
1499,Information And Computing Sciences,Artificial intelligence,Evolutionary computation
1500,Information And Computing Sciences,Artificial intelligence,Fuzzy computation
1501,Information And Computing Sciences,Artificial intelligence,Intelligent robotics
1502,Information And Computing Sciences,Artificial intelligence,Knowledge representation and reasoning
1503,Information And Computing Sciences,Artificial intelligence,Modelling and simulation
1504,Information And Computing Sciences,Artificial intelligence,Natural language processing
1505,Information And Computing Sciences,Artificial intelligence,Planning and decision making
1506,Information And Computing Sciences,Artificial intelligence,Satisfiability and optimisation
1507,Information And Computing Sciences,Artificial intelligence,Speech production
1508,Information And Computing Sciences,Artificial intelligence,Speech recognition
1509,Information And Computing Sciences,Artificial intelligence,Artificial intelligence 
1510,Information And Computing Sciences,Computer vision and multimedia computation,Active sensing
1511,Information And Computing Sciences,Computer vision and multimedia computation,Audio processing
1512,Information And Computing Sciences,Computer vision and multimedia computation,Computational imaging
1513,Information And Computing Sciences,Computer vision and multimedia computation,Computer vision
1514,Information And Computing Sciences,Computer vision and multimedia computation,Image and video coding
1515,Information And Computing Sciences,Computer vision and multimedia computation,Image processing
1516,Information And Computing Sciences,Computer vision and multimedia computation,Multimodal analysis and synthesis
1517,Information And Computing Sciences,Computer vision and multimedia computation,Pattern recognition
1518,Information And Computing Sciences,Computer vision and multimedia computation,Video processing
1519,Information And Computing Sciences,Computer vision and multimedia computation,Computer vision and multimedia computation 
1520,Information And Computing Sciences,Cybersecurity and privacy,Cryptography
1521,Information And Computing Sciences,Cybersecurity and privacy,Data and information privacy
1522,Information And Computing Sciences,Cybersecurity and privacy,Data security and protection
1523,Information And Computing Sciences,Cybersecurity and privacy,Digital forensics
1524,Information And Computing Sciences,Cybersecurity and privacy,Hardware security
1525,Information And Computing Sciences,Cybersecurity and privacy,Software and application security
1526,Information And Computing Sciences,Cybersecurity and privacy,System and network security
1527,Information And Computing Sciences,Cybersecurity and privacy,Cybersecurity and privacy 
1528,Information And Computing Sciences,Data management and data science,Data engineering and data science
1529,Information And Computing Sciences,Data management and data science,Data mining and knowledge discovery
1530,Information And Computing Sciences,Data management and data science,"Data models, storage and indexing"
1531,Information And Computing Sciences,Data management and data science,Data quality
1532,Information And Computing Sciences,Data management and data science,Database systems
1533,Information And Computing Sciences,Data management and data science,"Graph, social and multimedia data"
1534,Information And Computing Sciences,Data management and data science,Information extraction and fusion
1535,Information And Computing Sciences,Data management and data science,Information retrieval and web search
1536,Information And Computing Sciences,Data management and data science,Query processing and optimisation
1537,Information And Computing Sciences,Data management and data science,Recommender systems
1538,Information And Computing Sciences,Data management and data science,Stream and sensor data
1539,Information And Computing Sciences,Data management and data science,Data management and data science 
1540,Information And Computing Sciences,Distributed computing and systems software,Cloud computing
1541,Information And Computing Sciences,Distributed computing and systems software,Concurrent/parallel systems and technologies
1542,Information And Computing Sciences,Distributed computing and systems software,Cyberphysical systems and internet of things
1543,Information And Computing Sciences,Distributed computing and systems software,Dependable systems
1544,Information And Computing Sciences,Distributed computing and systems software,Distributed systems and algorithms
1545,Information And Computing Sciences,Distributed computing and systems software,Energy-efficient computing
1546,Information And Computing Sciences,Distributed computing and systems software,High performance computing
1547,Information And Computing Sciences,Distributed computing and systems software,Mobile computing
1548,Information And Computing Sciences,Distributed computing and systems software,Networking and communications
1549,Information And Computing Sciences,Distributed computing and systems software,Operating systems
1550,Information And Computing Sciences,Distributed computing and systems software,Performance evaluation
1551,Information And Computing Sciences,Distributed computing and systems software,Service oriented computing
1552,Information And Computing Sciences,Distributed computing and systems software,Distributed computing and systems software 
1553,Information And Computing Sciences,"Graphics, augmented reality and games",Computer aided design
1554,Information And Computing Sciences,"Graphics, augmented reality and games",Computer graphics
1555,Information And Computing Sciences,"Graphics, augmented reality and games",Entertainment and gaming
1556,Information And Computing Sciences,"Graphics, augmented reality and games",Interactive narrative
1557,Information And Computing Sciences,"Graphics, augmented reality and games",Procedural content generation
1558,Information And Computing Sciences,"Graphics, augmented reality and games",Serious games
1559,Information And Computing Sciences,"Graphics, augmented reality and games",Sound and music computing
1560,Information And Computing Sciences,"Graphics, augmented reality and games",Virtual and mixed reality
1561,Information And Computing Sciences,"Graphics, augmented reality and games","Graphics, augmented reality and games "
1562,Information And Computing Sciences,Human-centred computing,Accessible computing
1563,Information And Computing Sciences,Human-centred computing,Affective computing
1564,Information And Computing Sciences,Human-centred computing,Collaborative and social computing
1565,Information And Computing Sciences,Human-centred computing,Computing education
1566,Information And Computing Sciences,Human-centred computing,"Fairness, accountability, transparency, trust and ethics of computer systems"
1567,Information And Computing Sciences,Human-centred computing,Human-computer interaction
1568,Information And Computing Sciences,Human-centred computing,Information visualisation
1569,Information And Computing Sciences,Human-centred computing,Mixed initiative and human-in-the-loop
1570,Information And Computing Sciences,Human-centred computing,Pervasive computing
1571,Information And Computing Sciences,Human-centred computing,Social robotics
1572,Information And Computing Sciences,Human-centred computing,Human-centred computing 
1573,Information And Computing Sciences,Information systems,Business process management
1574,Information And Computing Sciences,Information systems,Decision support and group support systems
1575,Information And Computing Sciences,Information systems,"Information modelling, management and ontologies"
1576,Information And Computing Sciences,Information systems,Information security management
1577,Information And Computing Sciences,Information systems,Information systems development methodologies and practice
1578,Information And Computing Sciences,Information systems,Information systems education
1579,Information And Computing Sciences,Information systems,Information systems for sustainable development and the public good
1580,Information And Computing Sciences,Information systems,Information systems organisation and management
1581,Information And Computing Sciences,Information systems,"Information systems philosophy, research methods and theory"
1582,Information And Computing Sciences,Information systems,Information systems user experience design and development
1583,Information And Computing Sciences,Information systems,"Inter-organisational, extra-organisational and global information systems"
1584,Information And Computing Sciences,Information systems,Knowledge and information management
1585,Information And Computing Sciences,Information systems,Information systems 
1586,Information And Computing Sciences,Library and information studies ,Digital curation and preservation
1587,Information And Computing Sciences,Library and information studies ,Human information behaviour
1588,Information And Computing Sciences,Library and information studies ,Human information interaction and retrieval
1589,Information And Computing Sciences,Library and information studies ,"Information governance, policy and ethics"
1590,Information And Computing Sciences,Library and information studies ,Informetrics
1591,Information And Computing Sciences,Library and information studies ,Library studies
1592,Information And Computing Sciences,Library and information studies ,Open access
1593,Information And Computing Sciences,Library and information studies ,Organisation of information and knowledge resources
1594,Information And Computing Sciences,Library and information studies ,Recordkeeping informatics
1595,Information And Computing Sciences,Library and information studies ,Social and community informatics
1596,Information And Computing Sciences,Library and information studies ,Library and information studies 
1597,Information And Computing Sciences,Machine learning,Adversarial machine learning
1598,Information And Computing Sciences,Machine learning,Context learning
1599,Information And Computing Sciences,Machine learning,Deep learning
1600,Information And Computing Sciences,Machine learning,Neural networks
1601,Information And Computing Sciences,Machine learning,Reinforcement learning
1602,Information And Computing Sciences,Machine learning,Semi- and unsupervised learning
1603,Information And Computing Sciences,Machine learning,Machine learning 
1604,Information And Computing Sciences,Software engineering,Automated software engineering
1605,Information And Computing Sciences,Software engineering,Empirical software engineering
1606,Information And Computing Sciences,Software engineering,Formal methods for software
1607,Information And Computing Sciences,Software engineering,Programming languages
1608,Information And Computing Sciences,Software engineering,Requirements engineering
1609,Information And Computing Sciences,Software engineering,Software architecture
1610,Information And Computing Sciences,Software engineering,"Software quality, processes and metrics"
1611,Information And Computing Sciences,Software engineering,"Software testing, verification and validation"
1612,Information And Computing Sciences,Software engineering,Software engineering 
1613,Information And Computing Sciences,Theory of computation,"Coding, information theory and compression"
1614,Information And Computing Sciences,Theory of computation,Computational complexity and computability
1615,Information And Computing Sciences,Theory of computation,Computational logic and formal languages
1616,Information And Computing Sciences,Theory of computation,Concurrency theory
1617,Information And Computing Sciences,Theory of computation,Data structures and algorithms
1618,Information And Computing Sciences,Theory of computation,Numerical computation and mathematical software
1619,Information And Computing Sciences,Theory of computation,Quantum computation
1620,Information And Computing Sciences,Theory of computation,Theory of computation 
1621,Information And Computing Sciences,Other information and computing sciences,Other information and computing sciences 
1622,"Language, Communication And Culture",Communication and media studies,Communication studies
1623,"Language, Communication And Culture",Communication and media studies,Communication technology and digital media studies
1624,"Language, Communication And Culture",Communication and media studies,Environmental communication
1625,"Language, Communication And Culture",Communication and media studies,International and development communication
1626,"Language, Communication And Culture",Communication and media studies,Journalism studies
1627,"Language, Communication And Culture",Communication and media studies,Media industry studies
1628,"Language, Communication And Culture",Communication and media studies,Media studies
1629,"Language, Communication And Culture",Communication and media studies,"Organisational, interpersonal and intercultural communication"
1630,"Language, Communication And Culture",Communication and media studies,Communication and media studies 
1631,"Language, Communication And Culture",Cultural studies,Arts and cultural policy
1632,"Language, Communication And Culture",Cultural studies,Asian cultural studies
1633,"Language, Communication And Culture",Cultural studies,Consumption and everyday life
1634,"Language, Communication And Culture",Cultural studies,Cultural and creative industries
1635,"Language, Communication And Culture",Cultural studies,"Cultural studies of agriculture, food and wine"
1636,"Language, Communication And Culture",Cultural studies,Cultural studies of nation and region
1637,"Language, Communication And Culture",Cultural studies,Cultural theory
1638,"Language, Communication And Culture",Cultural studies,"Culture, representation and identity"
1639,"Language, Communication And Culture",Cultural studies,Environment and culture
1640,"Language, Communication And Culture",Cultural studies,Globalisation and culture
1641,"Language, Communication And Culture",Cultural studies,Migrant cultural studies
1642,"Language, Communication And Culture",Cultural studies,"Multicultural, intercultural and cross-cultural studies"
1643,"Language, Communication And Culture",Cultural studies,Postcolonial studies
1644,"Language, Communication And Culture",Cultural studies,Screen and media culture
1645,"Language, Communication And Culture",Cultural studies,Cultural studies 
1646,"Language, Communication And Culture",Language studies,African languages
1647,"Language, Communication And Culture",Language studies,Central and Eastern European languages (incl. Russian)
1648,"Language, Communication And Culture",Language studies,Chinese languages
1649,"Language, Communication And Culture",Language studies,Comparative language studies
1650,"Language, Communication And Culture",Language studies,Early English languages
1651,"Language, Communication And Culture",Language studies,English as a second language
1652,"Language, Communication And Culture",Language studies,English language
1653,"Language, Communication And Culture",Language studies,French language
1654,"Language, Communication And Culture",Language studies,German language
1655,"Language, Communication And Culture",Language studies,Iberian languages
1656,"Language, Communication And Culture",Language studies,Indian languages
1657,"Language, Communication And Culture",Language studies,Indonesian languages
1658,"Language, Communication And Culture",Language studies,Italian language
1659,"Language, Communication And Culture",Language studies,Japanese language
1660,"Language, Communication And Culture",Language studies,Korean language
1661,"Language, Communication And Culture",Language studies,Latin and classical Greek languages
1662,"Language, Communication And Culture",Language studies,Middle Eastern languages
1663,"Language, Communication And Culture",Language studies,Other Asian languages (excl. South-East Asian)
1664,"Language, Communication And Culture",Language studies,Other European languages
1665,"Language, Communication And Culture",Language studies,South-East Asian languages (excl. Indonesian)
1666,"Language, Communication And Culture",Language studies,Translation and interpretation studies
1667,"Language, Communication And Culture",Language studies,Language studies 
1668,"Language, Communication And Culture",Linguistics,Applied linguistics and educational linguistics
1669,"Language, Communication And Culture",Linguistics,Child language acquisition
1670,"Language, Communication And Culture",Linguistics,Computational linguistics
1671,"Language, Communication And Culture",Linguistics,Corpus linguistics
1672,"Language, Communication And Culture",Linguistics,Discourse and pragmatics 
1673,"Language, Communication And Culture",Linguistics,"Historical, comparative and typological linguistics"
1674,"Language, Communication And Culture",Linguistics,Language documentation and description
1675,"Language, Communication And Culture",Linguistics,Lexicography and semantics
1676,"Language, Communication And Culture",Linguistics,"Linguistic structures (incl. phonology, morphology and syntax)"
1677,"Language, Communication And Culture",Linguistics,Phonetics and speech science
1678,"Language, Communication And Culture",Linguistics,Sociolinguistics
1679,"Language, Communication And Culture",Linguistics,Linguistics n
1680,"Language, Communication And Culture",Literary studies,African literature
1681,"Language, Communication And Culture",Literary studies,Australian literature (excl. Aboriginal and Torres Strait Islander literature)
1682,"Language, Communication And Culture",Literary studies,Book history 
1683,"Language, Communication And Culture",Literary studies,British and Irish literature
1684,"Language, Communication And Culture",Literary studies,Central and Eastern European literature (incl. Russian)
1685,"Language, Communication And Culture",Literary studies,Children's literature
1686,"Language, Communication And Culture",Literary studies,Comparative and transnational literature
1687,"Language, Communication And Culture",Literary studies,Digital literature
1688,"Language, Communication And Culture",Literary studies,Ecocriticism
1689,"Language, Communication And Culture",Literary studies,Indian literature
1690,"Language, Communication And Culture",Literary studies,Indonesian literature
1691,"Language, Communication And Culture",Literary studies,Korean literature
1692,"Language, Communication And Culture",Literary studies,Latin and classical Greek literature
1693,"Language, Communication And Culture",Literary studies,Literary theory
1694,"Language, Communication And Culture",Literary studies,Literature in Chinese
1695,"Language, Communication And Culture",Literary studies,Literature in French
1696,"Language, Communication And Culture",Literary studies,Literature in German
1697,"Language, Communication And Culture",Literary studies,Literature in Italian
1698,"Language, Communication And Culture",Literary studies,Literature in Japanese
1699,"Language, Communication And Culture",Literary studies,Literature in Spanish and Portuguese
1700,"Language, Communication And Culture",Literary studies,Middle Eastern literature
1701,"Language, Communication And Culture",Literary studies,New Zealand literature (excl. Māori literature)
1702,"Language, Communication And Culture",Literary studies,North American literature
1703,"Language, Communication And Culture",Literary studies,Other Asian literature (excl. South-East Asian)
1704,"Language, Communication And Culture",Literary studies,Other European literature
1705,"Language, Communication And Culture",Literary studies,Other literatures in English
1706,"Language, Communication And Culture",Literary studies,Popular and genre literature
1707,"Language, Communication And Culture",Literary studies,Print culture
1708,"Language, Communication And Culture",Literary studies,South-East Asian literature (excl. Indonesian)
1709,"Language, Communication And Culture",Literary studies,Stylistics and textual analysis
1710,"Language, Communication And Culture",Literary studies,Young adult literature
1711,"Language, Communication And Culture",Literary studies,Literary studies 
1712,"Language, Communication And Culture","Other language, communication and culture","Other language, communication and culture "
1713,Law And Legal Studies,Commercial law,"Banking, finance and securities law"
1714,Law And Legal Studies,Commercial law,Commercial law
1715,Law And Legal Studies,Commercial law,Corporations and associations law
1716,Law And Legal Studies,Commercial law,Labour law 
1717,Law And Legal Studies,Commercial law,Not-for-profit law
1718,Law And Legal Studies,Commercial law,Taxation law 
1719,Law And Legal Studies,Commercial law,Commercial law 
1720,Law And Legal Studies,Environmental and resources law,Animal law
1721,Law And Legal Studies,Environmental and resources law,Climate change law
1722,Law And Legal Studies,Environmental and resources law,Environmental law
1723,Law And Legal Studies,Environmental and resources law,"Mining, energy and natural resources law"
1724,Law And Legal Studies,Environmental and resources law,Environmental and resources law 
1725,Law And Legal Studies,International and comparative law,Asian and Pacific law
1726,Law And Legal Studies,International and comparative law,Comparative law
1727,Law And Legal Studies,International and comparative law,Conflict of laws (incl. private international law)
1728,Law And Legal Studies,International and comparative law,European Union law
1729,Law And Legal Studies,International and comparative law,International arbitration
1730,Law And Legal Studies,International and comparative law,International criminal law
1731,Law And Legal Studies,International and comparative law,International humanitarian and human rights law
1732,Law And Legal Studies,International and comparative law,International trade and investment law
1733,Law And Legal Studies,International and comparative law,Ocean law and governance
1734,Law And Legal Studies,International and comparative law,Public international law
1735,Law And Legal Studies,International and comparative law,"Space, maritime and aviation law"
1736,Law And Legal Studies,International and comparative law,International and comparative law 
1737,Law And Legal Studies,Law in context,Criminal law
1738,Law And Legal Studies,Law in context,Family law 
1739,Law And Legal Studies,Law in context,Law and humanities
1740,Law And Legal Studies,Law in context,Law and religion 
1741,Law And Legal Studies,Law in context,Law and society and socio-legal research
1742,Law And Legal Studies,Law in context,Law reform
1743,Law And Legal Studies,Law in context,"Law, gender and sexuality (incl. feminist legal scholarship)"
1744,Law And Legal Studies,Law in context,"Law, science and technology"
1745,Law And Legal Studies,Law in context,Legal education
1746,Law And Legal Studies,Law in context,"Legal theory, jurisprudence and legal interpretation"
1747,Law And Legal Studies,Law in context,Media and communication law
1748,Law And Legal Studies,Law in context,Medical and health law
1749,Law And Legal Studies,Law in context,"Race, ethnicity and law"
1750,Law And Legal Studies,Law in context,Sports law
1751,Law And Legal Studies,Law in context,Law in context n
1752,Law And Legal Studies,Legal systems,Access to justice
1753,Law And Legal Studies,Legal systems,Civil procedure
1754,Law And Legal Studies,Legal systems,Criminal procedure
1755,Law And Legal Studies,Legal systems,Legal institutions (incl. courts and justice systems)
1756,Law And Legal Studies,Legal systems,"Legal practice, lawyering and the legal profession"
1757,Law And Legal Studies,Legal systems,"Litigation, adjudication and dispute resolution"
1758,Law And Legal Studies,Legal systems,Youth justice
1759,Law And Legal Studies,Legal systems,Legal systems 
1760,Law And Legal Studies,Private law and civil obligations,Contract law
1761,Law And Legal Studies,Private law and civil obligations,Equity and trusts law
1762,Law And Legal Studies,Private law and civil obligations,Intellectual property law
1763,Law And Legal Studies,Private law and civil obligations,Property law (excl. intellectual property law)
1764,Law And Legal Studies,Private law and civil obligations,Tort law
1765,Law And Legal Studies,Private law and civil obligations,Private law and civil obligations 
1766,Law And Legal Studies,Public law,Administrative law 
1767,Law And Legal Studies,Public law,Constitutional law 
1768,Law And Legal Studies,Public law,Domestic human rights law
1769,Law And Legal Studies,Public law,"Migration, asylum and refugee law"
1770,Law And Legal Studies,Public law,Military law and justice
1771,Law And Legal Studies,Public law,Privacy and data rights 
1772,Law And Legal Studies,Public law,"Welfare, insurance, disability and social security law"
1773,Law And Legal Studies,Public law,Public law 
1774,Law And Legal Studies,Other law and legal studies,Other law and legal studies 
1775,Mathematical Sciences,Applied mathematics,Approximation theory and asymptotic methods
1776,Mathematical Sciences,Applied mathematics,Biological mathematics 
1777,Mathematical Sciences,Applied mathematics,"Calculus of variations, mathematical aspects of systems theory and control theory "
1778,Mathematical Sciences,Applied mathematics,Complex systems
1779,Mathematical Sciences,Applied mathematics,Dynamical systems in applications
1780,Mathematical Sciences,Applied mathematics,Financial mathematics
1781,Mathematical Sciences,Applied mathematics,Mathematical methods and special functions
1782,Mathematical Sciences,Applied mathematics,Operations research
1783,Mathematical Sciences,Applied mathematics,Theoretical and applied mechanics
1784,Mathematical Sciences,Applied mathematics,Applied mathematics 
1785,Mathematical Sciences,Mathematical physics,Algebraic structures in mathematical physics
1786,Mathematical Sciences,Mathematical physics,Integrable systems (classical and quantum)
1787,Mathematical Sciences,Mathematical physics,"Mathematical aspects of classical mechanics, quantum mechanics and quantum information theory"
1788,Mathematical Sciences,Mathematical physics,Mathematical aspects of general relativity
1789,Mathematical Sciences,Mathematical physics,"Mathematical aspects of quantum and conformal field theory, quantum gravity and string theory"
1790,Mathematical Sciences,Mathematical physics,"Statistical mechanics, physical combinatorics and mathematical aspects of condensed matter"
1791,Mathematical Sciences,Mathematical physics,Mathematical physics 
1792,Mathematical Sciences,Numerical and computational mathematics,Experimental mathematics
1793,Mathematical Sciences,Numerical and computational mathematics,Numerical analysis 
1794,Mathematical Sciences,Numerical and computational mathematics,Numerical solution of differential and integral equations
1795,Mathematical Sciences,Numerical and computational mathematics,Optimisation 
1796,Mathematical Sciences,Numerical and computational mathematics,Numerical and computational mathematics 
1797,Mathematical Sciences,Pure mathematics,Algebra and number theory
1798,Mathematical Sciences,Pure mathematics,Algebraic and differential geometry
1799,Mathematical Sciences,Pure mathematics,"Category theory, k theory, homological algebra "
1800,Mathematical Sciences,Pure mathematics,Combinatorics and discrete mathematics (excl. physical combinatorics)
1801,Mathematical Sciences,Pure mathematics,Group theory and generalisations
1802,Mathematical Sciences,Pure mathematics,"Lie groups, harmonic and Fourier analysis"
1803,Mathematical Sciences,Pure mathematics,"Mathematical logic, set theory, lattices and universal algebra"
1804,Mathematical Sciences,Pure mathematics,Operator algebras and functional analysis
1805,Mathematical Sciences,Pure mathematics,"Ordinary differential equations, difference equations and dynamical systems"
1806,Mathematical Sciences,Pure mathematics,Partial differential equations
1807,Mathematical Sciences,Pure mathematics,Real and complex functions (incl. several variables)
1808,Mathematical Sciences,Pure mathematics,Topology
1809,Mathematical Sciences,Pure mathematics,Pure mathematics 
1810,Mathematical Sciences,Statistics,Applied statistics 
1811,Mathematical Sciences,Statistics,Biostatistics
1812,Mathematical Sciences,Statistics,Computational statistics
1813,Mathematical Sciences,Statistics,"Forensic evaluation, inference and statistics"
1814,Mathematical Sciences,Statistics,Large and complex data theory
1815,Mathematical Sciences,Statistics,Probability theory 
1816,Mathematical Sciences,Statistics,Spatial statistics
1817,Mathematical Sciences,Statistics,Statistical data science
1818,Mathematical Sciences,Statistics,Statistical theory 
1819,Mathematical Sciences,Statistics,Stochastic analysis and modelling
1820,Mathematical Sciences,Statistics,Time series and spatial modelling
1821,Mathematical Sciences,Statistics,Statistics 
1822,Mathematical Sciences,Other mathematical sciences,Other mathematical sciences n
1823,Philosophy And Religious Studies,Applied ethics,Bioethics
1824,Philosophy And Religious Studies,Applied ethics,Business ethics
1825,Philosophy And Religious Studies,Applied ethics,Ethical use of new technology
1826,Philosophy And Religious Studies,Applied ethics,Human rights and justice issues (excl. law)
1827,Philosophy And Religious Studies,Applied ethics,Legal ethics
1828,Philosophy And Religious Studies,Applied ethics,Medical ethics
1829,Philosophy And Religious Studies,Applied ethics,Professional ethics
1830,Philosophy And Religious Studies,Applied ethics,Applied ethics 
1831,Philosophy And Religious Studies,History and philosophy of specific fields,History and philosophy of engineering and technology
1832,Philosophy And Religious Studies,History and philosophy of specific fields,History and philosophy of law and justice
1833,Philosophy And Religious Studies,History and philosophy of specific fields,History and philosophy of medicine 
1834,Philosophy And Religious Studies,History and philosophy of specific fields,History and philosophy of science
1835,Philosophy And Religious Studies,History and philosophy of specific fields,History and philosophy of the humanities
1836,Philosophy And Religious Studies,History and philosophy of specific fields,History and philosophy of the social sciences
1837,Philosophy And Religious Studies,History and philosophy of specific fields,History of ideas
1838,Philosophy And Religious Studies,History and philosophy of specific fields,History of philosophy
1839,Philosophy And Religious Studies,History and philosophy of specific fields,History and philosophy of specific fields 
1840,Philosophy And Religious Studies,Philosophy,Aesthetics 
1841,Philosophy And Religious Studies,Philosophy,Critical theory
1842,Philosophy And Religious Studies,Philosophy,Decision theory
1843,Philosophy And Religious Studies,Philosophy,Environmental philosophy
1844,Philosophy And Religious Studies,Philosophy,Epistemology 
1845,Philosophy And Religious Studies,Philosophy,Ethical theory 
1846,Philosophy And Religious Studies,Philosophy,Hermeneutics
1847,Philosophy And Religious Studies,Philosophy,Logic
1848,Philosophy And Religious Studies,Philosophy,Metaphysics
1849,Philosophy And Religious Studies,Philosophy,Phenomenology
1850,Philosophy And Religious Studies,Philosophy,Philosophical psychology (incl. moral psychology and philosophy of action)
1851,Philosophy And Religious Studies,Philosophy,Philosophy of cognition
1852,Philosophy And Religious Studies,Philosophy,Philosophy of gender
1853,Philosophy And Religious Studies,Philosophy,Philosophy of language 
1854,Philosophy And Religious Studies,Philosophy,Philosophy of mind (excl. cognition)
1855,Philosophy And Religious Studies,Philosophy,Philosophy of religion 
1856,Philosophy And Religious Studies,Philosophy,Philosophy of science (excl. history and philosophy of specific fields)
1857,Philosophy And Religious Studies,Philosophy,Philosophy of specific cultures (incl. comparative philosophy)
1858,Philosophy And Religious Studies,Philosophy,Poststructuralism
1859,Philosophy And Religious Studies,Philosophy,Psychoanalytic philosophy
1860,Philosophy And Religious Studies,Philosophy,Social and political philosophy
1861,Philosophy And Religious Studies,Philosophy,Philosophy 
1862,Philosophy And Religious Studies,Religious studies,Christian studies
1863,Philosophy And Religious Studies,Religious studies,Comparative religious studies
1864,Philosophy And Religious Studies,Religious studies,Islamic studies
1865,Philosophy And Religious Studies,Religious studies,Jewish studies 
1866,Philosophy And Religious Studies,Religious studies,"Religion, society and culture"
1867,Philosophy And Religious Studies,Religious studies,Studies in eastern religious traditions
1868,Philosophy And Religious Studies,Religious studies,"Studies in religious traditions (excl. Eastern, Jewish, Christian and Islamic traditions)"
1869,Philosophy And Religious Studies,Religious studies,Religious studies 
1870,Philosophy And Religious Studies,Theology,Theology
1871,Philosophy And Religious Studies,Theology,Theology 
1872,Philosophy And Religious Studies,Other philosophy and religious studies,Other philosophy and religious studies 
1873,Physical Sciences,Astronomical sciences,Astrobiology
1874,Physical Sciences,Astronomical sciences,Astronomical instrumentation
1875,Physical Sciences,Astronomical sciences,Cosmology and extragalactic astronomy
1876,Physical Sciences,Astronomical sciences,Galactic astronomy
1877,Physical Sciences,Astronomical sciences,General relativity and gravitational waves
1878,Physical Sciences,Astronomical sciences,High energy astrophysics and galactic cosmic rays
1879,Physical Sciences,Astronomical sciences,Planetary science (excl. solar system and planetary geology)
1880,Physical Sciences,Astronomical sciences,Solar physics
1881,Physical Sciences,Astronomical sciences,Stellar astronomy and planetary systems
1882,Physical Sciences,Astronomical sciences,Astronomical sciences n
1883,Physical Sciences,"Atomic, molecular and optical physics",Atomic and molecular physics
1884,Physical Sciences,"Atomic, molecular and optical physics",Lasers and quantum electronics
1885,Physical Sciences,"Atomic, molecular and optical physics",Nonlinear optics and spectroscopy
1886,Physical Sciences,"Atomic, molecular and optical physics","Photonics, optoelectronics and optical communications"
1887,Physical Sciences,"Atomic, molecular and optical physics",Terahertz physics
1888,Physical Sciences,"Atomic, molecular and optical physics","Atomic, molecular and optical physics n"
1889,Physical Sciences,Classical physics,Acoustics and acoustical devices
1890,Physical Sciences,Classical physics,Classical and physical optics 
